,St,DelinqntSv,Sex,Race,TribeSv,EdLevlSv,SpecEdSv,RaceEthn
250,AZ,1,2,1,0,9,0,1
251,AZ,0,2,2,0,10,1,2
252,AZ,1,1,1,0,9,0,1
253,AZ,0,2,1,0,11,0,1
254,AZ,0,2,1,0,11,0,7
255,AZ,1,1,5,0,10,1,5
256,AZ,0,1,1,0,11,0,7
257,AZ,0,2,1,0,11,1,7
258,AZ,0,1,6,0,10,0,6
259,AZ,0,1,1,0,11,1,1
260,AZ,1,1,6,0,11,0,7
261,AZ,1,1,1,0,9,0,1
262,AZ,0,2,1,0,11,0,1
263,AZ,1,1,6,0,9,1,6
264,AZ,1,2,1,0,9,1,7
265,AZ,1,2,6,0,11,0,6
266,AZ,1,1,1,0,11,1,7
267,AZ,0,1,3,0,12,0,3
268,AZ,0,1,1,0,10,0,1
269,AZ,0,1,1,0,10,0,1
270,AZ,0,2,1,0,9,0,1
271,AZ,0,2,6,0,9,0,6
272,AZ,1,1,1,0,11,1,7
273,AZ,0,1,1,0,8,0,1
274,AZ,1,1,1,0,10,1,1
275,AZ,0,1,1,0,10,0,7
276,AZ,0,1,2,0,10,1,2
277,AZ,1,1,1,0,10,0,1
278,AZ,0,2,6,0,11,0,6
279,AZ,1,1,1,0,10,1,1
280,AZ,0,2,1,0,8,1,7
281,CA,0,2,6,0,10,0,6
282,CA,0,1,1,0,11,0,7
283,CA,0,2,1,0,10,1,7
284,CA,0,2,3,0,9,0,7
285,CA,0,2,2,0,10,0,2
286,CA,0,2,99,0,11,0,7
287,CA,0,1,1,0,11,0,1
288,CA,0,1,3,0,12,0,7
289,CA,1,1,2,0,10,0,2
290,CA,0,2,3,1,11,0,7
291,CA,0,2,2,0,11,1,2
292,CA,0,2,99,0,11,0,7
293,CA,0,1,2,0,11,1,2
294,CA,0,2,1,0,10,0,7
295,CA,0,1,2,0,10,0,2
296,CA,0,1,2,0,11,0,2
297,CA,0,1,4,0,13,0,4
298,CA,0,2,99,0,11,0,7
299,CA,0,2,2,0,11,1,2
300,CA,0,2,99,0,11,0,7
301,CA,0,2,1,0,10,0,7
302,CA,0,2,2,0,10,1,2
303,CA,0,1,4,0,10,0,4
304,CA,0,1,2,0,10,0,2
305,CA,0,2,6,1,10,0,6
306,CA,0,2,99,0,11,0,7
307,CA,1,2,99,0,11,0,7
308,CA,0,1,2,0,11,0,2
309,CA,0,2,6,0,9,1,6
310,CA,0,2,1,0,11,1,1
311,CA,0,2,99,0,11,0,7
312,CA,0,2,99,0,10,0,7
313,CA,0,2,1,0,10,0,1
315,CA,0,1,1,0,10,0,1
317,CA,0,2,1,0,10,0,1
318,CA,0,2,1,0,10,0,1
319,CA,1,1,2,0,10,0,2
320,CA,1,1,99,0,9,1,7
321,CA,0,1,2,0,10,0,2
322,CA,0,2,1,0,11,0,7
323,CA,0,2,99,0,11,0,7
324,CA,1,2,99,0,10,0,7
325,CA,0,1,99,0,12,1,7
326,CA,0,1,6,0,12,0,6
327,CA,0,2,1,0,11,0,1
328,CA,0,1,99,0,10,1,7
329,CA,0,2,99,0,8,0,7
330,CA,0,2,2,0,11,0,2
331,CA,0,2,1,0,10,1,7
332,CA,0,2,99,0,11,0,7
333,CA,1,2,99,0,11,1,7
334,CA,0,1,99,0,9,0,7
335,CA,0,2,2,0,9,0,2
336,CA,0,2,1,0,11,0,1
337,CA,1,1,1,0,11,0,1
338,CA,1,1,99,0,11,0,7
339,CA,0,2,2,0,9,1,2
341,CA,1,1,1,0,10,0,1
342,CA,0,2,1,0,10,0,7
343,CA,0,1,1,0,11,0,7
344,CA,0,1,1,0,10,0,1
345,CA,0,2,99,0,11,0,7
346,CA,0,2,2,0,10,0,2
347,CA,0,2,1,0,10,1,1
348,CA,0,1,1,0,9,0,7
349,CA,0,1,99,0,9,0,7
350,CA,0,1,99,0,11,0,7
351,CA,0,2,1,1,14,0,1
352,CA,0,1,2,0,11,0,2
353,CA,1,1,4,0,12,1,7
354,CA,0,2,99,0,11,0,7
355,CA,0,1,1,0,10,0,7
356,CA,1,1,99,0,0,0,7
357,CA,0,1,99,0,10,0,7
358,CA,0,1,2,0,9,1,2
359,CA,0,2,1,0,12,0,1
360,CA,0,1,1,0,10,0,7
361,CA,0,2,1,0,11,0,1
362,CA,0,2,2,0,10,1,2
363,CA,0,2,1,0,11,0,1
364,CA,0,2,2,0,9,0,2
365,CA,0,2,1,0,11,0,1
366,CA,0,1,99,0,11,1,7
367,CA,0,1,99,0,9,0,7
368,CA,0,2,99,0,10,0,7
369,CA,0,2,99,0,12,0,7
370,CA,0,2,99,0,11,1,7
371,CA,0,1,1,0,12,0,7
372,CA,0,2,99,0,9,0,7
373,CA,0,1,1,0,10,0,1
374,CA,1,1,1,0,10,0,1
375,CA,1,2,6,0,11,0,6
376,CA,0,2,99,0,10,0,7
377,CA,0,2,1,0,10,0,1
378,CA,0,2,1,0,9,1,1
379,CA,0,2,99,0,10,1,7
381,CA,0,2,2,0,11,1,2
382,CA,0,2,99,0,11,0,7
383,CA,0,2,2,0,10,0,2
384,CA,0,2,1,0,11,0,1
385,CA,0,2,1,0,11,0,1
386,CA,0,1,2,0,11,0,2
387,CA,0,1,1,0,10,1,1
388,CA,0,1,99,0,11,0,7
389,CA,0,1,99,0,11,1,7
390,CA,0,1,1,0,10,0,7
391,CA,0,1,4,0,10,0,7
392,CA,0,2,2,0,12,0,2
393,CA,0,2,2,0,10,0,7
394,CA,1,1,99,0,10,0,7
395,CA,0,2,2,0,10,0,2
396,CA,1,1,1,0,10,0,1
397,CA,1,1,99,0,11,0,7
398,CA,0,2,3,1,10,1,7
399,CA,0,2,1,0,10,0,7
400,CA,1,1,99,0,10,0,7
401,CA,0,2,99,0,11,0,7
402,CA,0,2,1,0,11,0,1
403,CA,0,1,2,0,10,0,2
405,CA,1,1,1,0,11,1,1
406,CA,0,1,99,0,9,0,7
