,ILNAsv,AcSuppSv,PSEdSuppSv,CareerSv,EmplyTrSv,BudgetSv,HousEdSv,HlthEdSv,FamSuppSv,MentorSv,SILsv,RmBrdFASv,EducFinaSv,OthrFinaSv,St,DelinqntSv,Sex,Race,TribeSv,EdLevlSv,SpecEdSv,RaceEthn
138,0,0,0,0,1,1,0,0,0,0,0,0,1,0,AR,0,2,6,1,8,0,6
139,0,0,0,1,1,1,0,0,1,0,0,0,0,1,AR,0,1,1,0,10,0,1
140,0,0,0,0,0,0,1,1,1,0,1,0,0,0,AR,0,2,2,0,10,1,2
141,1,1,0,1,1,0,1,1,1,0,0,0,0,0,AR,0,2,1,0,10,0,7
142,0,1,0,1,1,1,1,1,1,1,0,0,0,0,AR,0,1,1,0,8,0,1
143,1,0,0,1,0,1,1,1,1,0,0,0,0,0,AR,0,1,1,0,10,0,1
144,1,0,0,1,0,0,0,0,0,0,0,0,0,0,AR,0,2,2,0,13,0,2
145,1,0,0,1,0,1,1,1,1,0,0,0,0,0,AR,0,2,1,0,10,0,1
146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,0,1,2,0,10,0,2
147,0,0,0,0,0,0,0,1,1,0,0,0,0,0,AR,0,2,1,0,10,0,1
148,0,1,0,1,1,1,1,1,1,1,1,1,1,1,AR,0,2,1,0,14,0,1
149,0,0,0,1,0,0,0,0,0,0,0,0,0,0,AR,0,1,1,0,8,0,1
150,1,1,0,1,0,0,1,1,0,0,0,0,0,0,AR,0,1,2,0,10,0,2
151,1,0,1,0,0,0,0,0,1,0,1,0,1,1,AR,0,1,2,0,11,0,2
152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,AR,0,2,2,0,10,0,2
153,0,1,0,1,0,1,1,1,1,1,1,0,0,0,AR,0,1,2,0,10,0,2
154,0,0,0,1,0,1,1,1,0,0,0,0,0,0,AR,0,2,2,0,9,1,2
155,0,0,0,0,0,0,1,0,1,1,0,0,0,0,AR,0,2,1,0,10,0,1
156,0,0,0,0,1,1,0,0,1,0,0,0,0,1,AR,0,1,2,0,11,1,2
157,1,1,1,0,1,0,0,1,1,1,0,0,0,0,AR,0,1,1,0,9,1,1
158,1,1,1,1,1,1,1,1,1,1,0,0,1,1,AR,0,2,6,0,10,0,6
159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,0,2,1,0,9,1,1
160,0,0,0,1,0,0,0,1,0,0,0,0,0,0,AR,0,1,2,0,11,1,2
161,1,1,1,1,1,1,1,1,1,1,0,0,0,1,AR,0,2,1,0,9,0,1
162,1,1,0,1,1,1,1,1,1,1,0,0,1,0,AR,0,1,2,0,11,0,2
163,0,1,0,0,0,0,0,0,1,0,0,0,0,0,AR,0,1,6,0,8,1,6
164,0,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,0,2,1,0,10,0,1
