,ILNAsv,AcSuppSv,PSEdSuppSv,CareerSv,EmplyTrSv,BudgetSv,HousEdSv,HlthEdSv,FamSuppSv,MentorSv,SILsv,RmBrdFASv,EducFinaSv,OthrFinaSv,Num_services
196,0,1,0,1,0,1,1,1,1,0,0,0,0,1,7
197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
198,1,1,1,1,1,1,1,1,1,1,0,0,0,0,10
199,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
200,1,1,1,1,1,1,1,1,1,1,0,0,1,0,11
201,0,0,0,1,0,1,0,1,0,0,0,0,0,1,4
202,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
203,1,1,0,1,1,1,1,1,1,1,0,0,0,0,9
204,1,0,0,1,0,1,1,0,1,1,1,1,1,1,10
205,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
206,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
207,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3
208,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
209,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
210,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3
211,1,1,0,1,1,1,1,1,1,1,1,1,1,1,13
212,0,0,0,1,1,1,0,1,1,0,0,0,0,0,5
213,0,1,0,1,0,1,1,0,1,0,0,0,0,1,6
214,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
215,0,1,0,1,0,1,0,1,0,0,0,1,1,1,7
216,1,0,0,0,0,1,1,1,1,1,0,0,0,0,6
217,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3
218,1,1,0,1,1,0,0,0,1,1,0,0,0,1,7
219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
220,1,1,0,1,1,1,1,1,1,1,0,0,0,0,9
221,1,0,0,1,1,1,1,1,1,1,0,0,0,0,8
222,0,1,0,0,1,1,1,1,1,0,0,0,0,1,7
223,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
224,0,1,0,1,0,1,0,0,0,1,0,0,0,0,4
225,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
226,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3
227,1,1,0,1,1,0,1,0,1,0,0,0,0,0,6
228,1,0,0,1,0,0,0,1,1,1,0,0,0,0,5
229,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3
230,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
231,1,1,0,1,1,1,1,1,1,0,0,0,0,0,8
232,0,0,1,1,1,1,0,0,1,1,0,0,0,0,6
233,0,0,0,0,1,0,1,1,0,1,0,0,0,0,4
234,1,0,1,1,0,1,1,1,1,0,0,1,0,0,8
235,1,1,0,1,1,1,1,1,1,0,1,1,0,1,11
236,1,1,0,1,1,1,1,1,1,0,0,1,1,1,11
237,1,1,0,1,1,1,1,1,1,1,0,0,0,0,9
